기간	자치구	계	계	계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
기간	자치구	계	계	계	자연공원	자연공원	자연공원	소계	소계	소계	어린이공원	어린이공원	소공원	소공원	근린공원	근린공원	근린공원	도시자연공원	도시자연공원	도시자연공원	묘지공원	묘지공원	문화공원	문화공원	체육공원	체육공원	역사공원	역사공원	수변공원	수변공원	생태공원	생태공원	가로공원	가로공원	기타공원	기타공원	기타공원
기간	자치구	공원수	(중복)	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	(중복)	면적
2014	동작구	82	1	4,594.8	-	-	-	67	-	4,402.4	33	40.1	21	20.8	10	-	2,877.3	-	-	-	1	1,404.0	1	12.2	-	-	1	47.8	-	-	-	-	-	-	15	1	192.4
2014	관악구	111	2	10,975.9	-	-	-	98	2	10,969.2	71	87.3	17	22.8	4	2	400.5	1	-	10,420.8	-	-	1	4.3	-	-	-	-	4	33.5	-	-	-	-	13	-	6.7
2014	서초구	148	-	15,874.5	-	-	-	123	-	15,072.3	84	137	4	7.7	27	-	1,751.9	6	-	13,026.3	1	127.8	-	-	-	-	-	-	1	21.6	-	-	-	-	25	-	802.2
2014	강남구	138	2	6,207.2	-	-	-	124	2	4,916.7	62	99	8	7.2	52	-	2,251.1	-	2	2,449.8	-	-	1	34	-	-	1	75.6	-	-	-	-	-	-	14	-	1,290.5
2014	송파구	144	1	4,254.4	-	-	-	133	-	1,648.8	82	137	2	1.9	49	-	1,509.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	1	2,605.6
2014	강동구	135	1	3,412.9	-	-	-	126	1	2,870.6	68	147.1	22	29.8	30	-	1,826.7	1	1	713.4	-	-	1	1.8	-	-	1	110.2	3	41.5	-	-	-	-	9	-	542.2
2014	서울대공원	1	-	6,670.0	-	-	-	1	-	6,670.0	-	-	-	-	1	-	6,670.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2015	합계	2,827	33	167,938.9	1	5	37,345.0	2,172	25	114,720.8	1,286	2,239.4	380	504	402	13	45,014.6	20	12	63,101.2	4	2,377.9	43	711.6	4	133.4	15	459.9	11	112.5	1	51.5	6	14.7	654	3	15,873.0
2015	종로구	114	2	11,575.4	-	1	4,998.0	75	1	6,450.5	28	65.1	16	17.5	23	-	2,511.7	2	1	3,734.1	-	-	4	12.7	-	-	2	109.4	-	-	-	-	-	-	39	-	126.9
2015	중구	70	2	3,132.5	-	-	-	59	2	3,082.9	17	35.6	28	25.2	7	2	1,178.1	1	-	1,785.1	-	-	3	5.8	1	29.7	2	23.4	-	-	-	-	-	-	11	-	49.6
