지역,연령별,성별,주관적 건강수준
동대문구,45~64,남,39.9
동대문구,45~64,여,25.1
동대문구,65~74,계,32.8
동대문구,65~74,남,42.4
동대문구,65~74,여,25.0
동대문구,75 이상,계,29.9
동대문구,75 이상,남,42.2
동대문구,75 이상,여,19.2
광진구,계,계,41.8
광진구,계,남,48.1
광진구,계,여,36.3
광진구,19~44,계,52.5
광진구,19~44,남,57.6
광진구,19~44,여,48.0
광진구,45~64,계,36.3
광진구,45~64,남,44.8
광진구,45~64,여,29.3
광진구,65~74,계,31.0
광진구,65~74,남,32.7
광진구,65~74,여,29.5
광진구,75 이상,계,22.2
광진구,75 이상,남,31.0
광진구,75 이상,여,14.7
강동구,계,계,47.3
강동구,계,남,54.3
강동구,계,여,41.5
강동구,19~44,계,59.6
강동구,19~44,남,63.7
강동구,19~44,여,56.0
강동구,45~64,계,46.0
강동구,45~64,남,54.8
강동구,45~64,여,39.3
강동구,65~74,계,35.5
강동구,65~74,남,44.4
강동구,65~74,여,28.4
강동구,75 이상,계,11.4
강동구,75 이상,남,20.0
강동구,75 이상,여,2.9
강남구,계,계,45.8
강남구,계,남,50.1
강남구,계,여,42.6
강남구,19~44,계,50.6
강남구,19~44,남,54.1
강남구,19~44,여,48.0
강남구,45~64,계,47.2
강남구,45~64,남,50.7
강남구,45~64,여,44.6
강남구,65~74,계,27.6
강남구,65~74,남,18.8
강남구,65~74,여,32.7
강남구,75 이상,계,31.7
강남구,75 이상,남,54.5
강남구,75 이상,여,18.4
