,관리번호,공원명,위도,경도,공원면적,자치구
8399,11650-00068,남태령,37.466375,126.988369,1328.0,서초구
8400,11650-00069,양  재,37.483354,127.039279,990.4,서초구
8401,11650-00070,동  산,37.4713189,127.0450427,1890.4,서초구
8402,11650-00071,잔  디,37.466206,127.035439,1664.3,서초구
8403,11650-00072,게  리,37.469607,127.040559,1057.9,서초구
8404,11650-00013,바우뫼,37.474627,127.034344,16386.1,서초구
8405,11650-00014,서리풀,37.472561,126.985735,548520.8,서초구
8406,11650-00015,서래골,37.501581,127.002352,4690.8,서초구
8407,11650-00016,명주,37.517169,127.015143,4952.6,서초구
8408,11650-00017,반딧불,37.520172,127.000063,13606.8,서초구
8409,11650-00018,원촌,37.550471,127.020225,9941.7,서초구
8410,11650-00019,태봉,37.466158,127.016712,26555.7,서초구
8411,11650-00020,섬들,37.466518,127.016743,15590.3,서초구
8412,11650-00021,망루,37.466518,127.016712,56497.1,서초구
8413,11650-00022,송동,37.468618,127.016714,27472.8,서초구
8414,11650-00023,말죽거리,37.477852,127.031245,350200.0,서초구
8415,11650-00024,방배,37.476268,126.996443,228107.0,서초구
8416,11650-00025,도구머리,37.479508,126.988317,69578.4,서초구
8417,11650-00026,방배동,37.474689,126.958523,7003.0,서초구
8418,11650-00027,뒷  벌,37.48987805,126.9868924,5794.8,서초구
8419,11650-00028,청  두,37.480246,126.958524,1657.9,서초구
8420,11650-00029,가  꿀,37.488056,126.987542,993.5,서초구
8421,11650-00030,까  치,37.483889,126.990278,1015.3,서초구
8422,11650-00031,새  말,37.493333,126.988611,984.8,서초구
8423,11650-00032,너른골,37.487448,126.994851,1216.0,서초구
8424,11650-00033,정  문,37.481127,126.999612,993.1,서초구
8425,11650-00034,안  산,37.480063,126.992464,1615.6,서초구
8426,11650-00035,방  현,37.4781889,126.991667,1781.5,서초구
8427,11650-00036,동  덕,37.475516,126.993697,936.0,서초구
8428,11650-00037,사도감,37.485651,127.031362,946.7,서초구
8429,11650-00038,예  술,37.4832661,127.0146591,1006.3,서초구
8430,11650-00039,신  중,37.482283,127.010705,974.9,서초구
8431,11650-00040,장  안,37.491667,127.011389,969.0,서초구
8432,11650-00041,마산말,37.487135,127.026684,984.9,서초구
8433,11650-00042,분토골,37.488326,127.017445,999.1,서초구
8434,11650-00001,반  포,37.498825,126.990494,26092.2,서초구
8435,11650-00002,방아다리1,37.478285,127.035576,2870.8,서초구
8436,11650-00003,방아다리2,37.478021,127.035224,2934.3,서초구
8437,11650-00004,양재천,37.478025,127.035223,19258.0,서초구
8438,11650-00005,마  방,37.476355,127.042221,6546.6,서초구
8439,11650-00006,양  재,37.471543,127.042385,32523.4,서초구
8440,11650-00007,용허리,37.471543,127.042385,4641.9,서초구
8441,11650-00008,명  달,37.499011,127.021114,5466.4,서초구
8442,11650-00009,사평리,37.519855,127.014739,1913.7,서초구
8443,11650-00010,잠  원,37.512747,127.010099,2373.5,서초구
8444,11650-00011,신  동,37.514313,127.014521,6648.4,서초구
8445,11650-00012,고인돌,37.473168,127.046719,4579.0,서초구
8446,11545-00017,무지개,37.4628226666,126.9009392,972.1,금천구
8447,11545-00016,푸른골,37.466546,126.903303,977.3,금천구
8448,11545-00015,다람쥐,37.46824515,126.890819303,1019.6,금천구
8449,11545-00014,두산,37.4730326167,126.8942618,974.9,금천구
8450,11545-00013,철쭉,37.45288913,126.8896337,1501.6,금천구
8451,11545-00012,파랑새,37.454889,126.888937,1500.0,금천구
8452,11545-00011,참새,37.4569547362,126.8871937237,1500.1,금천구
8453,11545-00010,골말,37.482876,126.884528,1485.0,금천구
8454,11545-00009,무아래,37.473337,126.893278,1162.6,금천구
8455,11545-00008,조마,37.4756147926,126.8955477,1003.0,금천구
8456,11545-00007,금천폭포공원,37.4463967342,126.9044446688,7650.0,금천구
8457,11545-00006,독산근린공원,37.463664,126.884123,18005.5,금천구
8458,11545-00005,독산자연공원,37.473526,126.907326,7650.0,금천구
8459,11545-00004,삼성산시민휴식공원,37.454747,126.910204,10118.0,금천구
8463,11545-00050,도하,37.458753,126.896014,3057.7,금천구
8464,11545-00049,금나래중앙,37.45822937,126.8962053,16331.3,금천구
8465,11545-00048,별장길,37.448147,126.908596,971.4,금천구
8466,11545-00047,은행,37.452119,126.906993,865.0,금천구
8467,11545-00046,느티나무,37.456225,126.906735,939.2,금천구
8468,11545-00045,송록,37.461247,126.906169,947.1,금천구
8469,11545-00044,효봉,37.460754,126.910507,503.0,금천구
8470,11545-00043,신흥,37.459874,126.907849,312.0,금천구
8471,11545-00042,장미,37.461586,126.912238,1207.0,금천구
8472,11545-00041,산장,37.460931,126.912588,678.0,금천구
8473,11545-00040,단군,37.45569721,,250.0,금천구
8474,11545-00039,진달래,37.434878,126.904883,992.2,금천구
8475,11545-00038,까치,37.439645,126.905003,925.3,금천구
8476,11545-00037,비둘기,37.441597,126.906264,985.2,금천구
8477,11545-00036,꾸러기,37.443219,126.905877,359.4,금천구
8478,11545-00035,중앙,37.44561107,126.9005113,1515.0,금천구
8479,11545-00034,풍림,37.44783408,126.9012021,2195.0,금천구
8480,11545-00033,부장천,37.4526679373,126.9044061767,944.0,금천구
8481,11545-00032,해태,37.457773,126.901866,962.6,금천구
8482,11545-00031,새재미,37.459026,126.904239,1185.2,금천구
8483,11545-00030,남서울,37.448336,126.902123,1155.7,금천구
8484,11545-00029,소망,37.4693682882,126.901670629,998.0,금천구
8485,11545-00028,쌈지,37.470894,126.904015,982.8,금천구
8486,11545-00018,옥계,37.460149,126.9003020235,1058.6,금천구
8595,11530-00043,천왕역소공원,37.48530509,126.8400322,1712.0,구로구
8596,11530-00044,이펜시아어린이공원,37.483092,126.845813,1500.0,구로구
8597,11530-00045,개명소공원,37.480377,126.839291,5415.0,구로구
8598,11530-00046,봉화대근린공원,37.4846985836,126.8424191965,60975.0,구로구
8599,11530-00047,푸른수목원,37.4819684351,126.8236694753,100809.0,구로구
8600,11530-00048,오류동역문화공원,37.494783,126.844884,7510.0,구로구
