기간	구분	행정구역면적(㎡)	공원면적(㎡)	공원면적(㎡)	조성면적(㎡)	미조성면적(㎡)
기간	구분	행정구역면적(㎡)	합계	공원율(%)	조성면적(㎡)	미조성면적(㎡)
2014	관악구	29,567,356	10,975,919	37.12	10,867,642	108,277
2014	서초구	47,001,856	15,874,534	33.77	4,814,253	11,060,282
2014	강남구	39,501,151	6,207,208	15.71	5,294,529	912,679
2014	송파구	33,876,130	4,254,430	12.56	4,186,737	67,693
2014	강동구	24,586,706	3,412,868	13.88	2,622,534	790,334
2014	서울대공원	-	6,670,000	-	6,670,000	-
2015	합계	605,250,742	167,938,877	27.75	146,216,486	21,722,391
2015	종로구	23,912,895	11,575,356	48.41	11,485,707	89,648
2015	중구	9,960,549	3,132,474	31.45	3,096,392	36,082
2015	용산구	21,866,635	1,796,915	8.22	1,654,320	142,595
2015	성동구	16,860,497	3,067,331	18.19	2,938,764	128,567
2015	광진구	17,063,352	3,396,156	19.9	3,356,387	39,769
2015	동대문구	14,213,441	1,281,104	9.01	1,192,480	88,624
2015	중랑구	18,495,844	5,232,965	28.29	5,154,295	78,670
2015	성북구	24,578,675	8,393,029	34.15	8,153,246	239,783
2015	강북구	23,597,000	14,337,627	60.76	14,163,139	174,488
2015	도봉구	20,710,249	10,069,616	48.62	10,031,499	38,117
2015	노원구	35,435,922	14,163,034	39.97	13,681,809	481,225
2015	은평구	29,703,817	13,999,621	47.13	10,980,221	3,019,400
2015	서대문구	17,606,763	5,136,120	29.17	4,999,196	136,923
2015	마포구	23,844,308	4,505,526	18.9	4,139,633	365,892
2015	양천구	17,403,680	2,906,057	16.7	1,879,284	1,026,773
2015	강서구	41,437,725	4,329,121	10.45	3,665,616	663,504
2015	구로구	20,118,760	3,156,367	15.69	1,337,278	1,819,089
2015	금천구	13,019,732	2,221,074	17.06	2,199,324	21,750
2015	영등포구	24,529,570	3,065,673	12.5	2,962,953	102,720
2015	동작구	16,353,893	4,594,775	28.1	4,534,245	60,531
2015	관악구	29,569,357	10,975,919	37.12	10,867,642	108,277
2015	서초구	47,001,849	15,874,468	33.77	4,814,184	11,060,284
2015	강남구	39,500,681	6,421,972	16.26	5,457,914	964,058
2015	송파구	33,876,207	4,253,899	12.56	4,186,206	67,693
2015	강동구	24,589,341	3,382,681	13.76	2,614,753	767,927
2015	서울대공원	-	6,670,000	-	6,670,000	-
2016	합계	605,196,264	168,203,877	27.79	146,578,663	21,625,215
2016	종로구	23,912,883	11,567,389	48.37	11,485,707	81,681
2016	중구	9,960,930	3,131,968	31.44	3,095,960	36,008
2016	용산구	21,866,544	1,794,117	8.2	1,654,220	139,898
2016	성동구	16,860,100	3,094,975	18.36	2,974,764	120,210
2016	광진구	17,063,230	3,359,232	19.69	3,356,907	2,325
2016	동대문구	14,215,197	1,277,249	8.99	1,192,480	84,769
2016	중랑구	18,495,756	5,211,857	28.18	5,133,187	78,670
2016	성북구	24,578,665	8,393,029	34.15	8,153,246	239,783
2016	강북구	23,596,920	14,337,627	60.76	14,163,139	174,488
2016	도봉구	20,667,909	10,083,758	48.79	10,030,818	52,940
2016	노원구	35,437,921	14,168,875	39.98	13,687,650	481,225
2016	은평구	29,704,588	13,999,621	47.13	10,980,221	3,019,400
2016	서대문구	17,608,732	5,135,311	29.16	5,027,865	107,445
2016	마포구	23,843,621	4,439,259	18.62	4,222,195	217,064
2016	양천구	17,406,820	2,909,845	16.72	1,886,634	1,023,211
2016	강서구	41,436,730	4,329,121	10.45	3,665,616	663,504
2016	구로구	20,118,709	3,157,024	15.69	1,337,937	1,819,087
2016	금천구	13,019,304	2,205,217	16.94	2,203,054	2,163
2016	영등포구	24,529,646	3,095,107	12.62	2,964,503	130,604
2016	동작구	16,354,174	4,585,613	28.04	4,527,830	57,783
2016	관악구	29,568,727	10,975,725	37.12	10,869,888	105,837
2016	서초구	46,982,024	15,874,468	33.79	4,814,184	11,060,284
2016	강남구	39,501,308	6,598,029	16.7	5,666,886	931,143
2016	송파구	33,876,548	4,424,822	13.06	4,186,206	238,617
2016	강동구	24,589,280	3,384,641	13.76	2,627,565	757,075
2016	서울대공원	-	6,670,000	-	6,670,000	-
2017	합계	605,242,807	168,374,591	27.82	146,914,704	21,459,887
2017	종로구	23,912,788	11,569,693	48.38	11,489,270	80,423
2017	중구	9,959,792	3,131,968	31.45	3,095,960	36,008
2017	용산구	21,866,466	1,794,141	8.2	1,659,648	134,492
2017	성동구	16,856,985	3,101,355	18.4	2,982,711	118,644
2017	광진구	17,063,242	3,359,232	19.69	3,356,907	2,325
2017	동대문구	14,215,008	1,275,574	8.97	1,192,480	83,094
2017	중랑구	18,495,350	5,206,491	28.15	5,133,187	73,303
2017	성북구	24,573,192	8,338,101	33.93	8,153,246	184,855
2017	강북구	23,600,563	14,337,627	60.75	14,163,139	174,488
2017	도봉구	20,668,257	10,083,617	48.79	10,030,677	52,940
2017	노원구	35,437,909	14,337,687	40.46	13,856,461	481,225
2017	은평구	29,709,360	13,997,925	47.12	10,978,525	3,019,400
2017	서대문구	17,626,255	5,136,193	29.14	5,039,558	96,635
2017	마포구	23,852,112	4,439,901	18.61	4,325,771	114,130
2017	양천구	17,406,812	2,909,845	16.72	1,886,634	1,023,211
2017	강서구	41,436,826	4,329,258	10.45	3,665,616	663,641
2017	구로구	20,119,954	3,190,603	15.86	1,337,937	1,852,666
2017	금천구	13,020,164	2,206,213	16.94	2,203,054	3,159
2017	영등포구	24,548,177	3,092,598	12.6	2,966,008	126,590
2017	동작구	16,354,213	4,585,691	28.04	4,527,908	57,783
2017	관악구	29,568,849	10,975,725	37.12	10,869,888	105,837
2017	서초구	46,985,554	15,883,168	33.8	4,819,198	11,063,970
2017	강남구	39,501,152	6,591,655	16.69	5,660,512	931,143
2017	송파구	33,874,855	4,445,693	13.12	4,222,843	222,850
2017	강동구	24,588,972	3,384,641	13.76	2,627,565	757,075
2017	서울대공원	-	6,670,000	-	6,670,000	-
2018	합계	605,238,966	168,843,299	27.9	148,135,891	20,707,408
2018	종로구	23,913,318	11,555,792	48.32	11,486,917	68,875
2018	중구	9,959,837	3,131,968	31.45	3,100,980	30,988
2018	용산구	21,866,257	1,795,641	8.21	1,661,148	134,492
2018	성동구	16,859,546	3,102,064	18.4	2,989,204	112,861
2018	광진구	17,063,238	3,363,048	19.71	3,360,413	2,635
2018	동대문구	14,215,222	1,275,850	8.98	1,197,132	78,718
2018	중랑구	18,495,575	5,206,342	28.15	5,135,562	70,780
2018	성북구	24,573,425	8,342,383	33.95	8,167,970	174,413
2018	강북구	23,600,564	14,346,715	60.79	14,165,890	180,825
2018	도봉구	20,667,161	10,075,345	48.75	10,074,284	1,060
2018	노원구	35,438,003	14,337,687	40.46	14,116,961	220,725
2018	은평구	29,708,134	13,997,925	47.12	10,980,666	3,017,259
2018	서대문구	17,624,901	5,136,075	29.14	5,055,982	80,093
2018	마포구	23,851,231	4,439,901	18.61	4,328,633	111,268
2018	양천구	17,406,825	2,909,845	16.72	1,886,634	1,023,211
2018	강서구	41,436,855	4,329,258	10.45	4,225,487	103,770
2018	구로구	20,120,141	3,327,670	16.54	1,431,058	1,896,611
2018	금천구	13,020,303	2,206,213	16.94	2,205,217	996
2018	영등포구	24,548,061	3,091,054	12.59	2,968,952	122,101
2018	동작구	16,354,392	4,585,391	28.04	4,532,729	52,663
2018	관악구	29,568,890	10,977,114	37.12	10,869,888	107,226
2018	서초구	46,982,954	16,036,321	34.13	4,976,039	11,060,282
