기간	자치구	합계	합계	합계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
기간	자치구	합계	합계	합계	자연공원	자연공원	자연공원	계	계	계	어린이공원	어린이공원	소공원	소공원	근린공원	근린공원	근린공원	도시자연공원	도시자연공원	도시자연공원	묘지공원	묘지공원	문화공원	문화공원	체육공원	체육공원	역사공원	역사공원	수변공원	수변공원	기타공원	기타공원	기타공원
기간	자치구	공원수	(중복)	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	(중복)	면적
2010	종로구	99	2	10,900.9	-	1	4,328.0	64	1	6,448.1	24	61.5	10	6.3	25	-	2,531.1	2	1	3,734.1	-	-	1	5.8	-	-	2	109.4	-	-	35	-	124.9
2010	중구	65	2	3,125.3	-	-	-	55	2	3,076.5	22	40.6	18	14.6	10	2	1,197.4	1	-	1,786.5	-	-	3	7.6	1	29.7	-	-	-	-	10	-	48.9
2010	용산구	77	1	1,350.2	-	-	-	59	1	770.6	32	54.1	16	24.8	8	1	626.4	-	-	-	-	-	1	43.4	-	-	2	21.9	-	-	18	-	579.6
2010	성동구	81	1	2,869.5	-	-	-	56	1	1,026.9	33	58.4	12	9.8	10	1	955.9	-	-	-	-	-	-	-	1	2.8	-	-	-	-	25	-	1,842.6
2010	광진구	56	2	3,396.1	-	-	-	42	1	2,950.0	35	38.4	4	5.2	2	-	561.9	-	1	2,307.1	-	-	-	-	-	-	1	37.4	-	-	14	1	446
2010	동대문구	105	1	1,237.8	-	-	-	87	1	993.7	52	101.6	22	29.1	13	1	863.1	-	-	-	-	-	-	-	-	-	-	-	-	-	18	-	244.1
2010	중랑구	87	-	5,206.9	-	-	-	56	-	5,026.4	44	54.2	5	3.8	5	-	1,335.0	1	-	2,800.6	1	832.8	-	-	-	-	-	-	-	-	31	-	180.4
2010	성북구	127	5	8,163.7	-	1	3,643.0	74	4	4,462.3	36	99.4	23	27.6	13	3	2,057.4	1	1	2,276.2	-	-	-	-	-	-	-	-	1	1.8	53	-	58.4
2010	강북구	69	1	14,336.4	1	-	12,601.0	48	1	1,574.4	40	57.8	6	3.7	2	-	1,384.5	-	1	128.3	-	-	-	-	-	-	-	-	-	-	20	-	161
2010	도봉구	73	2	10,500.3	-	1	9,149.0	50	1	1,098.7	39	50.3	8	11	2	1	1,003.6	-	-	-	-	-	-	-	1	33.8	-	-	-	-	23	-	252.6
2010	노원구	146	-	14,125.8	-	-	-	126	-	13,851.0	92	171.5	1	1.8	27	-	1,626.8	2	-	12,024.3	-	-	4	26.7	-	-	-	-	-	-	20	-	274.8
2010	은평구	131	3	15,855.6	-	1	9,440.0	89	2	6,300.4	47	90.8	19	32.3	21	1	2,852.9	2	1	3,324.4	-	-	-	-	-	-	-	-	-	-	42	-	115.2
2010	서대문구	119	3	5,569.8	-	1	287	76	2	4,893.6	44	95.1	19	15.2	9	-	1,322.6	1	2	3,449.5	-	-	3	11.3	-	-	-	-	-	-	43	-	389.1
2010	마포구	132	-	5,082.2	-	-	-	92	-	2,209.2	55	81.8	17	20.8	11	-	2,068.9	-	-	-	1	13.2	7	19.6	-	-	1	4.8	-	-	40	-	2,873.0
2010	양천구	116	1	2,865.5	-	-	-	98	1	2,443.0	71	123.4	9	19.7	17	-	1,078.4	-	1	1,003.5	-	-	1	217.9	-	-	-	-	-	-	18	-	422.6
2010	강서구	162	-	4,004.1	-	-	-	151	-	3,236.8	125	190.2	3	1.9	23	-	3,044.6	-	-	-	-	-	-	-	-	-	-	-	-	-	11	-	767.3
2010	구로구	98	1	3,169.9	-	-	-	56	1	2,848.4	25	49.3	13	22.3	15	1	1,087.8	2	-	1,685.4	-	-	1	3.7	-	-	-	-	-	-	42	-	321.5
2010	금천구	51	1	2,189.5	-	-	-	44	1	2,030.3	41	41.4	-	-	3	-	33.4	-	1	1,955.4	-	-	-	-	-	-	-	-	-	-	7	-	159.2
2010	영등포구	116	-	2,184.4	-	-	-	83	-	739.3	32	100.1	37	53.3	13	-	582.9	-	-	-	-	-	-	-	-	-	1	3	-	-	33	-	1,445.1
2010	동작구	72	1	4,565.3	-	-	-	59	-	4,375.9	34	42.2	12	13.1	10	-	2,856.6	-	-	-	1	1,404.0	1	12.2	-	-	1	47.8	-	-	13	1	189.4
2010	관악구	107	2	10,964.9	-	-	-	94	2	10,958.2	70	83.9	14	14.5	4	2	400.5	1	-	10,420.8	-	-	1	4.3	-	-	-	-	4	34.2	13	-	6.7
2010	서초구	130	-	15,822.5	-	-	-	119	-	15,027.5	84	138.8	2	6.6	26	-	1,728.0	6	-	13,026.3	1	127.8	-	-	-	-	-	-	-	-	11	-	794.9
2010	강남구	134	2	5,671.7	-	-	-	119	2	4,648.7	61	94.6	7	7.1	51	-	2,097.2	-	2	2,449.8	-	-	-	-	-	-	-	-	-	-	15	-	1,023.1
2010	송파구	141	1	4,685.8	-	-	-	130	-	2,078.1	82	129.7	1	1	47	-	1,947.3	-	-	-	-	-	-	-	-	-	-	-	-	-	11	1	2,607.8
2010	강동구	113	1	2,815.2	-	-	-	104	1	2,273.0	64	125.1	14	13.4	22	-	1,307.3	1	1	713.4	-	-	2	3.6	-	-	1	110.2	-	-	9	-	542.3
2010	서울대공원	1	1	9,132.8	-	-	-	1	1	9,132.8	-	-	-	-	1	-	6,670.0	-	1	2,462.8	-	-	-	-	-	-	-	-	-	-	-	-	-
