지역,연령별,성별,주관적 건강수준
용산구,75 이상,계,42.6
용산구,75 이상,남,35.7
용산구,75 이상,여,48.2
송파구,계,계,9.8
송파구,계,남,8.2
송파구,계,여,10.9
송파구,19~44,계,3.5
송파구,19~44,남,3.5
송파구,19~44,여,3.6
송파구,45~64,계,9.2
송파구,45~64,남,8.0
송파구,45~64,여,10.1
송파구,65~74,계,16.2
송파구,65~74,남,11.3
송파구,65~74,여,19.3
송파구,75 이상,계,37.1
송파구,75 이상,남,32.1
송파구,75 이상,여,41.2
성동구,계,계,18.3
성동구,계,남,16.2
성동구,계,여,19.9
성동구,19~44,계,8.3
성동구,19~44,남,10.3
성동구,19~44,여,6.6
성동구,45~64,계,14.3
성동구,45~64,남,10.9
성동구,45~64,여,16.9
성동구,65~74,계,25.2
성동구,65~74,남,20.3
성동구,65~74,여,30.0
성동구,75 이상,계,53.8
성동구,75 이상,남,44.7
성동구,75 이상,여,60.0
서초구,계,계,8.5
서초구,계,남,7.2
서초구,계,여,9.5
서초구,19~44,계,3.6
서초구,19~44,남,5.0
서초구,19~44,여,2.2
서초구,45~64,계,7.5
서초구,45~64,남,6.3
서초구,45~64,여,8.3
서초구,65~74,계,14.4
서초구,65~74,남,14.6
서초구,65~74,여,14.3
서초구,75 이상,계,26.8
서초구,75 이상,남,14.3
서초구,75 이상,여,36.2
동대문구,계,계,15.0
동대문구,계,남,11.4
동대문구,계,여,18.1
동대문구,19~44,계,8.0
동대문구,19~44,남,8.1
동대문구,19~44,여,8.0
동대문구,45~64,계,11.0
동대문구,45~64,남,8.4
동대문구,45~64,여,13.1
동대문구,65~74,계,26.7
동대문구,65~74,남,20.3
동대문구,65~74,여,31.9
동대문구,75 이상,계,30.9
동대문구,75 이상,남,20.0
동대문구,75 이상,여,40.4
광진구,계,계,12.6
광진구,계,남,13.0
광진구,계,여,12.4
광진구,19~44,계,5.8
광진구,19~44,남,6.2
광진구,19~44,여,5.4
광진구,45~64,계,10.7
광진구,45~64,남,11.9
광진구,45~64,여,9.8
광진구,65~74,계,23.0
광진구,65~74,남,25.0
광진구,65~74,여,21.3
광진구,75 이상,계,44.4
광진구,75 이상,남,37.9
광진구,75 이상,여,50.0
강동구,계,계,11.8
강동구,계,남,9.9
강동구,계,여,13.4
강동구,19~44,계,4.6
강동구,19~44,남,4.1
강동구,19~44,여,5.0
강동구,45~64,계,9.9
강동구,45~64,남,8.1
강동구,45~64,여,11.2
강동구,65~74,계,19.8
강동구,65~74,남,16.7
강동구,65~74,여,22.4
강동구,75 이상,계,41.4
강동구,75 이상,남,34.3
강동구,75 이상,여,48.6
강남구,계,계,10.1
강남구,계,남,11.5
강남구,계,여,9.0
강남구,19~44,계,4.9
강남구,19~44,남,4.7
강남구,19~44,여,5.0
강남구,45~64,계,8.6
강남구,45~64,남,11.1
강남구,45~64,여,6.7
강남구,65~74,계,24.1
강남구,65~74,남,40.6
강남구,65~74,여,14.5
강남구,75 이상,계,31.7
강남구,75 이상,남,22.7
강남구,75 이상,여,36.8
