지역,연령별,성별,주관적 건강수준,걷기 실천,격렬한 신체활동 실천,긍정적 태도율(자연환경),주관적 스트레스 수준,우울감 경험률,중등도 신체활동 실천,체중조절 경험 여부,행복감 지수
금천구,65~74,계,22.3,38.8,14.4,78.9,20.1,8.6,11.5,42.4,6.4
금천구,65~74,남,30.2,38.1,20.6,85.0,15.9,4.8,15.9,27.0,6.64
금천구,65~74,여,15.8,39.5,9.2,74.0,23.7,11.8,7.9,55.3,6.2
금천구,75 이상,계,13.5,40.5,5.4,86.5,21.6,5.4,5.4,16.2,5.71
금천구,75 이상,남,20.0,50.0,10.0,90.0,5.0,5.0,5.0,15.0,6.05
금천구,75 이상,여,5.9,29.4,0.0,82.4,41.2,5.9,5.9,17.6,5.17
구로구,계,계,39.1,60.9,13.1,59.7,30.7,8.6,6.9,64.4,6.61
구로구,계,남,45.2,62.4,15.0,64.8,32.4,7.4,9.8,55.5,6.6
구로구,계,여,34.2,59.8,11.5,55.7,29.3,9.6,4.5,71.5,6.63
구로구,19~44,계,47.9,60.5,14.6,59.4,39.3,7.9,5.9,71.9,6.87
구로구,19~44,남,52.5,63.5,13.3,67.6,39.2,6.1,8.8,63.0,6.82
구로구,19~44,여,44.2,58.0,15.6,52.6,39.3,9.4,3.6,79.0,6.91
구로구,45~64,계,33.2,60.6,12.5,55.0,25.9,9.1,8.7,64.4,6.47
구로구,45~64,남,34.9,58.4,15.4,57.2,29.5,7.4,10.7,51.7,6.28
구로구,45~64,여,32.0,62.4,10.3,53.4,23.2,10.3,7.2,74.2,6.62
구로구,65~74,계,30.8,67.5,12.0,70.6,20.5,10.3,4.3,55.6,6.41
구로구,65~74,남,49.1,66.0,18.9,74.5,24.5,9.4,7.5,49.1,6.77
구로구,65~74,여,15.6,68.8,6.2,67.7,17.2,10.9,1.6,60.9,6.11
구로구,75 이상,계,27.8,51.9,7.4,68.6,18.5,7.4,7.4,27.8,6.02
구로구,75 이상,남,45.8,70.8,16.7,69.6,16.7,12.5,16.7,37.5,6.43
구로구,75 이상,여,13.3,36.7,0.0,67.9,20.0,3.3,0.0,20.0,5.69
관악구,계,계,43.3,59.9,14.7,72.9,28.3,8.9,10.4,64.6,6.78
관악구,계,남,47.0,63.4,19.4,75.0,27.8,8.1,13.7,54.6,6.68
관악구,계,여,40.0,56.8,10.5,70.9,28.7,9.7,7.4,73.5,6.88
관악구,19~44,계,51.3,64.2,15.7,67.5,35.1,8.5,10.6,74.4,6.91
관악구,19~44,남,50.0,66.2,20.8,68.7,34.3,8.8,12.5,65.7,6.83
관악구,19~44,여,52.5,62.2,10.6,66.4,35.9,8.3,8.8,82.9,7.0
관악구,45~64,계,35.4,51.6,14.6,73.9,26.4,9.4,10.8,59.7,6.65
관악구,45~64,남,43.9,54.5,17.1,80.5,27.6,8.1,16.3,44.7,6.5
관악구,45~64,여,29.1,49.4,12.7,68.9,25.5,10.3,6.7,70.9,6.76
관악구,65~74,계,40.3,66.2,14.9,84.1,15.6,8.5,9.1,57.8,6.77
관악구,65~74,남,46.6,71.2,21.9,82.9,13.7,5.6,12.3,46.6,6.63
관악구,65~74,여,34.6,61.7,8.6,85.2,17.3,11.1,6.2,67.9,6.89
관악구,75 이상,계,27.3,50.0,4.7,78.6,18.2,11.4,9.3,25.0,6.45
관악구,75 이상,남,35.0,60.0,10.0,80.0,10.0,10.0,15.0,25.0,6.35
관악구,75 이상,여,20.8,41.7,0.0,77.3,25.0,12.5,4.3,25.0,6.55
강서구,계,계,41.0,51.6,15.5,67.3,28.6,6.0,5.1,62.7,6.73
강서구,계,남,43.9,53.1,18.1,67.4,26.5,5.3,6.0,54.3,6.83
강서구,계,여,38.4,50.3,13.3,67.2,30.5,6.5,4.3,70.1,6.65
강서구,19~44,계,52.2,55.0,16.7,64.1,33.5,4.3,3.7,71.0,6.9
강서구,19~44,남,54.1,57.6,18.2,65.8,31.6,4.3,5.6,63.2,6.93
강서구,19~44,여,50.2,52.4,15.2,62.4,35.5,4.3,1.7,78.8,6.87
강서구,45~64,계,31.1,47.8,16.4,65.6,25.2,8.2,6.0,63.2,6.55
강서구,45~64,남,30.9,41.7,18.7,64.5,23.0,6.5,7.2,49.6,6.68
강서구,45~64,여,31.3,52.5,14.5,66.5,26.8,9.5,5.0,73.7,6.45
강서구,65~74,계,27.0,53.9,13.5,77.5,20.2,5.6,11.2,42.7,6.88
강서구,65~74,남,32.6,55.8,20.9,76.7,14.0,7.0,7.0,34.9,6.95
강서구,65~74,여,21.7,52.2,6.5,78.3,26.1,4.3,15.2,50.0,6.8
강서구,75 이상,계,25.5,41.2,3.9,88.0,19.6,7.8,2.0,19.6,6.16
강서구,75 이상,남,38.9,77.8,5.6,88.2,16.7,5.6,0.0,22.2,6.33
강서구,75 이상,여,18.2,21.2,3.0,87.9,21.2,9.1,3.0,18.2,6.06
중랑구,계,계,38.7,60.1,20.9,66.6,32.1,11.6,8.6,57.6,6.82
