지역,연령별,성별,체중조절 경험 여부
중랑구,19~44,남,55.8
중랑구,19~44,여,80.6
중랑구,45~64,계,59.1
중랑구,45~64,남,42.0
중랑구,45~64,여,70.1
중랑구,65~74,계,32.8
중랑구,65~74,남,30.0
중랑구,65~74,여,34.7
중랑구,75 이상,계,13.8
중랑구,75 이상,남,23.8
중랑구,75 이상,여,8.1
종로구,계,계,64.7
종로구,계,남,57.4
종로구,계,여,70.6
종로구,19~44,계,73.7
종로구,19~44,남,65.6
종로구,19~44,여,80.3
종로구,45~64,계,65.8
종로구,45~64,남,52.9
종로구,45~64,여,76.6
종로구,65~74,계,52.4
종로구,65~74,남,48.4
종로구,65~74,여,55.4
종로구,75 이상,계,46.7
종로구,75 이상,남,57.1
종로구,75 이상,여,40.0
은평구,계,계,55.6
은평구,계,남,47.5
은평구,계,여,61.7
은평구,19~44,계,63.6
은평구,19~44,남,54.8
은평구,19~44,여,70.4
은평구,45~64,계,58.2
은평구,45~64,남,46.4
은평구,45~64,여,67.0
은평구,65~74,계,38.9
은평구,65~74,남,36.7
은평구,65~74,여,40.7
은평구,75 이상,계,27.2
은평구,75 이상,남,25.0
은평구,75 이상,여,28.3
성북구,계,계,64.8
성북구,계,남,55.0
성북구,계,여,73.0
성북구,19~44,계,72.1
성북구,19~44,남,60.1
성북구,19~44,여,83.2
성북구,45~64,계,70.4
성북구,45~64,남,58.3
성북구,45~64,여,80.0
성북구,65~74,계,52.7
성북구,65~74,남,47.8
성북구,65~74,여,57.1
성북구,75 이상,계,25.0
성북구,75 이상,남,19.2
성북구,75 이상,여,28.3
서대문구,계,계,54.7
서대문구,계,남,48.3
서대문구,계,여,59.8
서대문구,19~44,계,64.7
서대문구,19~44,남,57.7
서대문구,19~44,여,70.5
서대문구,45~64,계,55.9
서대문구,45~64,남,41.7
서대문구,45~64,여,67.1
서대문구,65~74,계,41.7
서대문구,65~74,남,45.9
서대문구,65~74,여,37.8
서대문구,75 이상,계,19.4
서대문구,75 이상,남,20.8
서대문구,75 이상,여,18.6
도봉구,계,계,60.4
도봉구,계,남,50.9
도봉구,계,여,67.7
도봉구,19~44,계,67.3
도봉구,19~44,남,57.1
도봉구,19~44,여,76.6
도봉구,45~64,계,62.8
도봉구,45~64,남,49.3
도봉구,45~64,여,71.4
도봉구,65~74,계,51.0
도봉구,65~74,남,50.0
도봉구,65~74,여,51.8
도봉구,75 이상,계,32.8
도봉구,75 이상,남,22.2
도봉구,75 이상,여,40.0
노원구,계,계,53.2
노원구,계,남,46.9
노원구,계,여,58.5
노원구,19~44,계,61.3
노원구,19~44,남,54.5
노원구,19~44,여,67.3
노원구,45~64,계,53.5
노원구,45~64,남,44.3
노원구,45~64,여,61.0
노원구,65~74,계,40.0
노원구,65~74,남,36.1
노원구,65~74,여,43.6
노원구,75 이상,계,10.7
노원구,75 이상,남,15.8
노원구,75 이상,여,8.1
강북구,계,계,64.4
강북구,계,남,57.6
강북구,계,여,69.7
강북구,19~44,계,75.9
강북구,19~44,남,68.1
강북구,19~44,여,83.0
강북구,45~64,계,63.7
강북구,45~64,남,53.5
강북구,45~64,여,70.1
강북구,65~74,계,51.2
강북구,65~74,남,48.1
강북구,65~74,여,53.8
강북구,75 이상,계,44.9
강북구,75 이상,남,44.1
강북구,75 이상,여,45.5
중구,계,계,59.0
중구,계,남,53.3
중구,계,여,63.5
중구,19~44,계,71.8
중구,19~44,남,64.5
중구,19~44,여,78.4
중구,45~64,계,60.5
중구,45~64,남,53.0
중구,45~64,여,66.5
중구,65~74,계,46.1
중구,65~74,남,42.6
중구,65~74,여,48.4
중구,75 이상,계,28.0
중구,75 이상,남,21.1
중구,75 이상,여,32.3
용산구,계,계,58.9
용산구,계,남,52.2
용산구,계,여,63.6
용산구,19~44,계,66.8
용산구,19~44,남,54.8
용산구,19~44,여,75.7
용산구,45~64,계,63.3
용산구,45~64,남,54.7
용산구,45~64,여,70.4
용산구,65~74,계,47.2
용산구,65~74,남,50.0
용산구,65~74,여,45.3
용산구,75 이상,계,28.6
용산구,75 이상,남,28.6
용산구,75 이상,여,28.6
송파구,계,계,68.7
송파구,계,남,63.3
송파구,계,여,72.7
송파구,19~44,계,74.3
송파구,19~44,남,68.9
송파구,19~44,여,77.9
송파구,45~64,계,66.8
송파구,45~64,남,62.2
송파구,45~64,여,70.7
송파구,65~74,계,58.0
송파구,65~74,남,54.5
송파구,65~74,여,61.4
송파구,75 이상,계,47.8
송파구,75 이상,남,33.3
송파구,75 이상,여,54.8
성동구,계,계,67.0
성동구,계,남,61.9
성동구,계,여,71.5
성동구,19~44,계,76.9
성동구,19~44,남,72.0
성동구,19~44,여,81.8
성동구,45~64,계,66.7
성동구,45~64,남,59.4
성동구,45~64,여,72.5
성동구,65~74,계,52.2
성동구,65~74,남,47.3
성동구,65~74,여,55.6
성동구,75 이상,계,36.2
성동구,75 이상,남,35.9
성동구,75 이상,여,36.7
서초구,계,계,70.7
서초구,계,남,60.8
서초구,계,여,77.9
서초구,19~44,계,75.9
서초구,19~44,남,65.9
서초구,19~44,여,82.7
서초구,45~64,계,69.9
서초구,45~64,남,58.2
서초구,45~64,여,78.3
서초구,65~74,계,61.1
서초구,65~74,남,54.2
서초구,65~74,여,68.1
서초구,75 이상,계,40.5
서초구,75 이상,남,47.1
서초구,75 이상,여,35.0
동대문구,계,계,70.1
동대문구,계,남,62.6
동대문구,계,여,76.5
동대문구,19~44,계,76.1
동대문구,19~44,남,66.3
동대문구,19~44,여,85.4
동대문구,45~64,계,76.1
동대문구,45~64,남,63.0
동대문구,45~64,여,87.9
동대문구,65~74,계,54.1
동대문구,65~74,남,53.6
동대문구,65~74,여,54.4
동대문구,75 이상,계,40.3
동대문구,75 이상,남,52.0
동대문구,75 이상,여,34.0
광진구,계,계,67.5
광진구,계,남,58.4
광진구,계,여,74.2
광진구,19~44,계,76.7
광진구,19~44,남,69.5
광진구,19~44,여,82.4
광진구,45~64,계,63.0
광진구,45~64,남,47.8
광진구,45~64,여,73.5
광진구,65~74,계,51.2
광진구,65~74,남,47.1
광진구,65~74,여,54.2
광진구,75 이상,계,40.0
광진구,75 이상,남,40.9
광진구,75 이상,여,39.3
강동구,계,계,71.1
강동구,계,남,67.1
강동구,계,여,74.4
강동구,19~44,계,76.9
강동구,19~44,남,75.2
강동구,19~44,여,78.3
강동구,45~64,계,68.5
강동구,45~64,남,57.5
강동구,45~64,여,76.6
강동구,65~74,계,66.7
강동구,65~74,남,65.2
강동구,65~74,여,68.2
강동구,75 이상,계,37.1
강동구,75 이상,남,60.0
강동구,75 이상,여,20.0
강남구,계,계,68.8
강남구,계,남,63.1
강남구,계,여,73.1
강남구,19~44,계,74.2
강남구,19~44,남,71.2
강남구,19~44,여,76.6
강남구,45~64,계,69.1
강남구,45~64,남,59.8
강남구,45~64,여,75.3
강남구,65~74,계,56.8
강남구,65~74,남,43.9
강남구,65~74,여,68.1
강남구,75 이상,계,37.5
강남구,75 이상,남,45.5
강남구,75 이상,여,30.8
