지역,연령별,성별,긍정적 태도율(자연환경)
강동구,65~74,남,87.7
강동구,65~74,여,87.5
강동구,75 이상,계,86.2
강동구,75 이상,남,88.2
강동구,75 이상,여,83.9
강남구,계,계,74.5
강남구,계,남,75.8
강남구,계,여,73.5
강남구,19~44,계,66.9
강남구,19~44,남,67.6
강남구,19~44,여,66.4
강남구,45~64,계,80.9
강남구,45~64,남,84.6
강남구,45~64,여,78.1
강남구,65~74,계,78.4
강남구,65~74,남,84.6
강남구,65~74,여,74.1
강남구,75 이상,계,83.3
강남구,75 이상,남,68.2
강남구,75 이상,여,92.1
