지역,연령별,성별,행복감 지수
성동구,75 이상,여,6.6
서초구,계,계,7.3
서초구,계,남,6.9
서초구,계,여,6.9
서초구,19~44,계,7.0
서초구,19~44,남,7.0
서초구,19~44,여,7.0
서초구,45~64,계,7.0
서초구,45~64,남,6.9
서초구,45~64,여,7.0
서초구,65~74,계,6.6
서초구,65~74,남,6.6
서초구,65~74,여,6.5
서초구,75 이상,계,6.9
서초구,75 이상,남,7.4
서초구,75 이상,여,6.6
동대문구,계,계,6.7
동대문구,계,남,6.9
동대문구,계,여,6.9
동대문구,19~44,계,7.0
동대문구,19~44,남,7.0
동대문구,19~44,여,7.0
동대문구,45~64,계,7.0
동대문구,45~64,남,6.9
동대문구,45~64,여,7.0
동대문구,65~74,계,6.6
동대문구,65~74,남,6.6
동대문구,65~74,여,6.5
동대문구,75 이상,계,6.9
동대문구,75 이상,남,7.4
동대문구,75 이상,여,6.6
광진구,계,계,7.2
광진구,계,남,6.9
광진구,계,여,6.9
광진구,19~44,계,7.0
광진구,19~44,남,7.0
광진구,19~44,여,7.0
광진구,45~64,계,7.0
광진구,45~64,남,6.9
광진구,45~64,여,7.0
광진구,65~74,계,6.6
광진구,65~74,남,6.6
광진구,65~74,여,6.5
광진구,75 이상,계,6.9
광진구,75 이상,남,7.4
광진구,75 이상,여,6.6
강동구,계,계,7.1
강동구,계,남,6.9
강동구,계,여,6.9
강동구,19~44,계,7.0
강동구,19~44,남,7.0
강동구,19~44,여,7.0
강동구,45~64,계,7.0
강동구,45~64,남,6.9
강동구,45~64,여,7.0
강동구,65~74,계,6.6
강동구,65~74,남,6.6
강동구,65~74,여,6.5
강동구,75 이상,계,6.9
강동구,75 이상,남,7.4
강동구,75 이상,여,6.6
강남구,계,계,7.3
강남구,계,남,6.9
강남구,계,여,6.9
강남구,19~44,계,7.0
강남구,19~44,남,7.0
강남구,19~44,여,7.0
강남구,45~64,계,7.0
강남구,45~64,남,6.9
강남구,45~64,여,7.0
강남구,65~74,계,6.6
강남구,65~74,남,6.6
강남구,65~74,여,6.5
강남구,75 이상,계,6.9
강남구,75 이상,남,7.4
강남구,75 이상,여,6.6
