지역,연령별,성별,1인당 연소득
강남구,계,여,2661.6
강남구,19~44,계,2850.5
강남구,19~44,남,3027.1
강남구,19~44,여,2715.3
강남구,45~64,계,2924.2
강남구,45~64,남,2971.8
강남구,45~64,여,2888.0
강남구,65~74,계,2329.0
강남구,65~74,남,2657.1
강남구,65~74,여,2112.3
강남구,75 이상,계,1957.8
강남구,75 이상,남,1971.8
강남구,75 이상,여,1949.7
