지역,연령별,성별,1인당 연소득,주관적 건강수준,걷기 실천,격렬한 신체활동 실천,긍정적 태도율(자연환경),주관적 스트레스 수준,우울감 경험률,중등도 신체활동 실천,체중조절 경험 여부,행복감 지수
관악구,75 이상,계,1023.8,24.2,53.7,9.5,85.1,17.9,5.3,6.3,37.9,7.4
관악구,75 이상,남,1048.0,23.4,61.7,17.0,85.1,14.9,2.1,8.5,38.3,7.26
관악구,75 이상,여,999.5,25.0,45.8,2.1,85.1,20.8,8.3,4.2,37.5,7.53
강서구,계,계,1838.1,39.9,57.5,19.4,69.8,28.7,5.7,9.9,66.4,7.03
강서구,계,남,1936.8,44.1,61.4,23.5,70.2,25.0,3.2,10.1,60.4,7.05
강서구,계,여,1760.4,36.7,54.4,16.1,69.5,31.7,7.6,9.7,71.1,7.02
강서구,19~44,계,2082.0,54.9,59.4,21.2,64.8,33.5,5.6,7.6,71.3,7.09
강서구,19~44,남,2197.8,57.6,64.7,28.2,64.8,28.2,1.8,9.4,67.1,7.23
강서구,19~44,여,1975.1,52.4,54.6,14.7,64.8,38.4,9.2,5.9,75.1,6.97
강서구,45~64,계,1951.6,35.2,57.5,23.7,68.4,28.2,6.1,14.0,70.7,7.09
강서구,45~64,남,2051.0,38.9,56.9,26.4,69.3,25.7,4.9,13.9,60.4,7.08
강서구,45~64,여,1884.8,32.7,57.9,22.0,67.8,29.9,7.0,14.0,77.6,7.1
강서구,65~74,계,1386.3,21.3,56.6,11.5,77.9,20.5,4.9,7.4,55.7,6.98
강서구,65~74,남,1550.4,25.0,63.5,13.5,82.7,17.3,1.9,7.7,50.0,6.79
강서구,65~74,여,1262.7,18.6,51.4,10.0,74.3,22.9,7.1,7.1,60.0,7.13
강서구,75 이상,계,985.3,23.8,50.0,4.8,84.1,22.6,4.8,6.0,42.9,6.6
강서구,75 이상,남,875.3,28.9,60.5,5.3,78.9,18.4,5.3,2.6,44.7,6.43
강서구,75 이상,여,1076.2,19.6,41.3,4.3,88.6,26.1,4.3,8.7,41.3,6.73
중랑구,계,계,2294.1,35.1,61.3,21.1,66.4,24.4,7.4,11.4,61.4,7.19
중랑구,계,남,2241.8,41.6,63.0,23.3,68.4,18.8,4.8,14.5,52.0,7.17
중랑구,계,여,2331.3,30.8,60.1,19.6,65.2,28.2,9.2,9.3,67.8,7.21
중랑구,19~44,계,2533.3,48.1,64.6,25.6,59.2,29.5,8.4,10.7,68.8,7.15
중랑구,19~44,남,2630.2,51.2,70.5,30.2,63.6,24.8,7.0,14.7,59.7,7.2
중랑구,19~44,여,2463.8,45.8,60.3,22.3,56.2,33.0,9.5,7.8,75.4,7.11
