지역,연령별,성별,걷기 실천
광진구,19~44,여,67.7
광진구,45~64,계,60.7
광진구,45~64,남,57.9
광진구,45~64,여,62.9
광진구,65~74,계,60.2
광진구,65~74,남,51.0
광진구,65~74,여,67.2
광진구,75 이상,계,44.8
광진구,75 이상,남,55.2
광진구,75 이상,여,34.5
강동구,계,계,60.3
강동구,계,남,62.4
강동구,계,여,58.5
강동구,19~44,계,63.6
강동구,19~44,남,65.8
강동구,19~44,여,61.6
강동구,45~64,계,58.6
강동구,45~64,남,58.8
강동구,45~64,여,58.5
강동구,65~74,계,65.3
강동구,65~74,남,61.7
강동구,65~74,여,68.9
강동구,75 이상,계,35.3
강동구,75 이상,남,61.1
강동구,75 이상,여,21.2
강남구,계,계,62.2
강남구,계,남,63.5
강남구,계,여,61.2
강남구,19~44,계,63.7
강남구,19~44,남,63.5
강남구,19~44,여,63.7
강남구,45~64,계,58.6
강남구,45~64,남,59.5
강남구,45~64,여,57.9
강남구,65~74,계,74.4
강남구,65~74,남,78.6
강남구,65~74,여,70.8
강남구,75 이상,계,50.0
강남구,75 이상,남,62.5
강남구,75 이상,여,37.5
