지역,연령별,성별,행복감 지수
도봉구,45~64,남,6.6
도봉구,45~64,여,6.7
도봉구,65~74,계,6.98
도봉구,65~74,남,7.04
도봉구,65~74,여,6.93
도봉구,75 이상,계,6.36
도봉구,75 이상,남,6.31
도봉구,75 이상,여,6.4
노원구,계,계,6.89
노원구,계,남,6.91
노원구,계,여,6.87
노원구,19~44,계,7.06
노원구,19~44,남,7.19
노원구,19~44,여,6.96
노원구,45~64,계,6.85
노원구,45~64,남,6.8
노원구,45~64,여,6.89
노원구,65~74,계,6.91
노원구,65~74,남,6.6
노원구,65~74,여,7.19
노원구,75 이상,계,6.03
노원구,75 이상,남,5.76
노원구,75 이상,여,6.12
강북구,계,계,6.65
강북구,계,남,6.64
강북구,계,여,6.65
강북구,19~44,계,6.79
강북구,19~44,남,6.81
강북구,19~44,여,6.77
강북구,45~64,계,6.67
강북구,45~64,남,6.58
강북구,45~64,여,6.73
강북구,65~74,계,6.42
강북구,65~74,남,6.33
강북구,65~74,여,6.5
강북구,75 이상,계,6.42
강북구,75 이상,남,6.76
강북구,75 이상,여,6.18
중구,계,계,6.86
중구,계,남,6.9
중구,계,여,6.84
중구,19~44,계,7.07
중구,19~44,남,7.17
중구,19~44,여,6.98
중구,45~64,계,6.8
중구,45~64,남,6.76
중구,45~64,여,6.83
중구,65~74,계,6.77
중구,65~74,남,6.59
중구,65~74,여,6.9
중구,75 이상,계,6.41
중구,75 이상,남,6.66
중구,75 이상,여,6.26
용산구,계,계,7.18
용산구,계,남,7.21
용산구,계,여,7.15
용산구,19~44,계,7.17
용산구,19~44,남,7.35
용산구,19~44,여,7.04
용산구,45~64,계,7.21
용산구,45~64,남,7.16
용산구,45~64,여,7.26
용산구,65~74,계,7.22
용산구,65~74,남,6.91
용산구,65~74,여,7.44
용산구,75 이상,계,7.04
용산구,75 이상,남,7.18
용산구,75 이상,여,6.96
송파구,계,계,7.23
송파구,계,남,7.19
송파구,계,여,7.26
송파구,19~44,계,7.34
송파구,19~44,남,7.22
송파구,19~44,여,7.45
송파구,45~64,계,7.24
송파구,45~64,남,7.2
송파구,45~64,여,7.27
송파구,65~74,계,7.12
송파구,65~74,남,7.03
송파구,65~74,여,7.19
송파구,75 이상,계,6.44
송파구,75 이상,남,7.0
송파구,75 이상,여,6.03
성동구,계,계,6.89
성동구,계,남,6.9
성동구,계,여,6.87
성동구,19~44,계,7.02
성동구,19~44,남,7.12
성동구,19~44,여,6.93
성동구,45~64,계,6.96
성동구,45~64,남,6.89
성동구,45~64,여,7.02
성동구,65~74,계,6.67
성동구,65~74,남,6.59
성동구,65~74,여,6.73
성동구,75 이상,계,6.25
성동구,75 이상,남,6.33
성동구,75 이상,여,6.18
서초구,계,계,7.34
서초구,계,남,7.39
서초구,계,여,7.3
서초구,19~44,계,7.38
서초구,19~44,남,7.46
서초구,19~44,여,7.32
서초구,45~64,계,7.32
서초구,45~64,남,7.39
서초구,45~64,여,7.27
서초구,65~74,계,7.36
서초구,65~74,남,7.27
서초구,65~74,여,7.43
서초구,75 이상,계,7.0
서초구,75 이상,남,7.05
서초구,75 이상,여,6.96
동대문구,계,계,6.86
동대문구,계,남,7.05
동대문구,계,여,6.69
동대문구,19~44,계,7.04
동대문구,19~44,남,7.31
동대문구,19~44,여,6.74
동대문구,45~64,계,6.79
동대문구,45~64,남,6.86
동대문구,45~64,여,6.74
동대문구,65~74,계,6.89
동대문구,65~74,남,6.88
동대문구,65~74,여,6.9
동대문구,75 이상,계,6.34
동대문구,75 이상,남,6.68
동대문구,75 이상,여,6.14
광진구,계,계,7.24
광진구,계,남,7.27
광진구,계,여,7.22
광진구,19~44,계,7.21
광진구,19~44,남,7.24
광진구,19~44,여,7.18
광진구,45~64,계,7.39
광진구,45~64,남,7.44
광진구,45~64,여,7.35
광진구,65~74,계,7.26
광진구,65~74,남,7.14
광진구,65~74,여,7.35
광진구,75 이상,계,6.63
광진구,75 이상,남,6.9
광진구,75 이상,여,6.36
강동구,계,계,7.01
강동구,계,남,7.14
강동구,계,여,6.9
강동구,19~44,계,7.13
강동구,19~44,남,7.36
강동구,19~44,여,6.91
강동구,45~64,계,7.02
강동구,45~64,남,7.18
강동구,45~64,여,6.9
강동구,65~74,계,6.79
강동구,65~74,남,6.27
강동구,65~74,여,7.31
강동구,75 이상,계,6.49
강동구,75 이상,남,7.39
강동구,75 이상,여,6.0
강남구,계,계,7.28
강남구,계,남,7.31
강남구,계,여,7.25
강남구,19~44,계,7.17
강남구,19~44,남,7.24
강남구,19~44,여,7.11
강남구,45~64,계,7.36
강남구,45~64,남,7.43
강남구,45~64,여,7.31
강남구,65~74,계,7.29
강남구,65~74,남,7.07
강남구,65~74,여,7.48
강남구,75 이상,계,7.81
강남구,75 이상,남,7.67
강남구,75 이상,여,7.94
