지역,연령별,성별,중등도 신체활동 실천
강동구,75 이상,여,6.1
강남구,계,계,10.7
강남구,계,남,10.4
강남구,계,여,10.9
강남구,19~44,계,11.1
강남구,19~44,남,13.0
강남구,19~44,여,9.6
강남구,45~64,계,10.2
강남구,45~64,남,6.5
강남구,45~64,여,12.9
강남구,65~74,계,11.1
강남구,65~74,남,14.3
강남구,65~74,여,8.3
강남구,75 이상,계,9.4
강남구,75 이상,남,6.2
강남구,75 이상,여,12.5
