,제공기관명,관리번호,공원명,공원구분,소재지지번주소,위도,경도,공원면적,지정고시일,데이터기준일자,시도,자치구
774,서울특별시 강동구,11740-00022,선사공원,어린이공원,서울특별시 강동구 암사3동 440,37.5557606066,127.1299975466,1610.3,1976-04-22,2020-09-11,서울특별시,강동구
943,서울특별시 중랑구,11260-00004,신내어울공원,근린공원,서울특별시 중랑구 신내동 317-2,37.61163479,127.0974178,12937.0,,2020-11-12,서울특별시,중랑구
968,서울특별시 송파구,11710-00154,방이동고분,역사공원,서울특별시 송파구 방이동 125,37.50757311,127.1181634,30293.7,,2021-02-21,서울특별시,송파구
969,서울특별시 송파구,11710-00155,백제초기적석총,역사공원,서울특별시 송파구 석촌동 248,37.50214179,127.102815,45137.8,,2021-02-21,서울특별시,송파구
970,서울특별시 송파구,11710-00156,성내천,기타,서울특별시 송파구 마천동 ~ 한강합류점,37.500542,127.139533,61050.0,,2021-02-21,서울특별시,송파구
971,서울특별시 송파구,11710-00157,올림픽공원,기타,서울특별시 송파구 방이동 88-3 외,37.520341,127.115518,1447122.3,,2021-02-21,서울특별시,송파구
972,서울특별시 송파구,11710-00158,탄천,기타,서울특별시 송파구 장지동 ~ 한강합류점,37.499063,127.088061,161970.0,,2021-02-21,서울특별시,송파구
973,서울특별시 송파구,11710-00159,두레어린이공원,어린이공원,서울특별시 송파구 마천동 364-5 일대,37.494278,127.156245,75.0,,2021-02-21,서울특별시,송파구
1205,서울특별시 강서구,11500-00068,종달새,어린이공원,서울특별시 강서구 화곡동819-5,37.535302,126.858021,991.4,,2021-03-22,서울특별시,강서구
1336,서울특별시 강북구,11305-00001,벽오산,어린이공원,서울특별시 강북구 미아동 258-56,37.62758933,127.0302701,1250.0,1968-04-25,2020-09-01,서울특별시,강북구
1337,서울특별시 강북구,11305-00002,미아도심소,어린이공원,서울특별시 강북구 미아동 258-148,37.62536211,127.031259,1127.0,1968-04-25,2020-09-01,서울특별시,강북구
1338,서울특별시 강북구,11305-00003,오 패,어린이공원,서울특별시 강북구 미아동 258-236,37.62231672,127.032307,1084.0,1968-04-25,2020-09-01,서울특별시,강북구
1339,서울특별시 강북구,11305-00004,한 빛,어린이공원,서울특별시 강북구 미아동 222-20,37.62768452,127.022893,1192.1,1964-10-16,2020-09-01,서울특별시,강북구
1340,서울특별시 강북구,11305-00005,운 산,어린이공원,서울특별시 강북구 미아동 165-3,37.63209072,127.025573,995.1,1964-10-16,2020-09-01,서울특별시,강북구
1341,서울특별시 강북구,11305-00006,솔 샘,어린이공원,서울특별시 강북구 송천동 329-15,37.618286,127.027053,1264.1,1964-10-16,2020-09-01,서울특별시,강북구
1342,서울특별시 강북구,11305-00007,으 뜸,어린이공원,서울특별시 강북구 미아동 309-43,37.62361033,127.0262405,681.0,1964-10-16,2020-09-01,서울특별시,강북구
1343,서울특별시 강북구,11305-00008,세 일,어린이공원,서울특별시 강북구 미아동 159-71,37.63387737,127.0252619,839.7,1964-10-16,2020-09-01,서울특별시,강북구
1344,서울특별시 강북구,11305-00009,북한산 도시자연공원,기타,서울특별시 강북구 미아동 산108-19,,,128341.0,1971-08-07,2020-09-01,서울특별시,강북구
1345,서울특별시 강북구,11305-00011,응달마을,어린이공원,서울특별시 강북구 송천동 707-73,37.618383,127.024271,866.0,1977-02-04,2020-09-01,서울특별시,강북구
1346,서울특별시 강북구,11305-00012,하 늘,어린이공원,서울특별시 강북구 삼양동 791-1776,,127.012902,3367.0,2000-02-16,2020-09-01,서울특별시,강북구
1347,서울특별시 강북구,11305-00013,송 월,어린이공원,서울특별시 강북구 송중동 92-7,,127.032131,807.0,2002-05-27,2020-09-01,서울특별시,강북구
1348,서울특별시 강북구,11305-00014,소망,소공원,서울특별시 강북구 삼양동 791-1467,37.626008,,320.0,2001-05-15,2020-09-01,서울특별시,강북구
1349,서울특별시 강북구,11305-00015,미래,소공원,서울특별시 강북구 삼양동 791-1712,37.624872,127.014615,564.0,2001-05-25,2020-09-01,서울특별시,강북구
1350,서울특별시 강북구,11305-00016,늘푸른,소공원,서울특별시 강북구 삼양동 797-9,,127.020225,646.0,2003-06-25,2020-09-01,서울특별시,강북구
1351,서울특별시 강북구,11305-00017,폭포,소공원,서울특별시 강북구 삼각산동 813-6,37.614482,127.020702,1238.0,2005-11-10,2020-09-01,서울특별시,강북구
1352,서울특별시 강북구,11305-00018,꼭지,소공원,서울특별시 강북구 삼각산동 811-7,37.617126,127.017436,746.0,2006-10-09,2020-09-01,서울특별시,강북구
1353,서울특별시 강북구,11305-00019,테두리,어린이공원,서울특별시 강북구 삼각산동 811-8,37.618199,127.017141,1913.0,2006-10-09,2020-09-01,서울특별시,강북구
